ThemeName,ThemeDescription,Bg,Bg_A,Surface,Surface_A,SurfaceAlt,SurfaceAlt_A,SurfaceGlass,SurfaceGlass_A,SurfaceGlassStrong,SurfaceGlassStrong_A,Primary,Primary_A,Secondary,Secondary_A,CTA,CTA_A,TextPrimary,TextPrimary_A,TextSecondary,TextSecondary_A,Border,Border_A,BorderGlass,BorderGlass_A,Overlay,Overlay_A
Dark_Autonomous_Systems,深色自动化系统主题｜配色：背景 #0D1117｜主色 #00FF41｜辅色 #008F11｜主按钮 #FF3333｜文字 #E6EDF3｜边框 #30363D, #0D1117,1.0, #1C1F25,1.0, #25292E,1.0, #FFFFFF,0.12, #FFFFFF,0.2, #00FF41,1.0, #008F11,1.0, #FF3333,1.0, #E6EDF3,1.0, #B6BDC3,1.0, #30363D,1.0, #FFFFFF,0.2, #000000,0.65
Dark_Cybersecurity_Platform,深色网络安全平台主题｜配色：背景 #000000｜主色 #00FF41｜辅色 #0D0D0D｜主按钮 #00FF41｜文字 #E0E0E0｜边框 #1F1F1F, #000000,1.0, #0F0F0F,1.0, #1A1A1A,1.0, #FFFFFF,0.12, #FFFFFF,0.2, #00FF41,1.0, #0D0D0D,1.0, #00FF41,1.0, #E0E0E0,1.0, #AFAFAF,1.0, #1F1F1F,1.0, #FFFFFF,0.2, #000000,0.65
Dark_Developer_Tool_IDE,深色开发者工具主题｜配色：背景 #0F172A｜主色 #3B82F6｜辅色 #1E293B｜主按钮 #2563EB｜文字 #F1F5F9｜边框 #334155, #0F172A,1.0, #1D2537,1.0, #272E3F,1.0, #FFFFFF,0.12, #FFFFFF,0.2, #3B82F6,1.0, #1E293B,1.0, #2563EB,1.0, #F1F5F9,1.0, #BFC4CB,1.0, #334155,1.0, #FFFFFF,0.2, #000000,0.65
Dark_Fintech_Crypto,深色金融科技主题｜配色：背景 #0F172A｜主色 #F59E0B｜辅色 #FBBF24｜主按钮 #8B5CF6｜文字 #F8FAFC｜边框 #334155, #0F172A,1.0, #1D2537,1.0, #272E3F,1.0, #FFFFFF,0.12, #FFFFFF,0.2, #F59E0B,1.0, #FBBF24,1.0, #8B5CF6,1.0, #F8FAFC,1.0, #C5C8CE,1.0, #334155,1.0, #FFFFFF,0.2, #000000,0.65
Dark_Gaming,深色游戏主题｜配色：背景 #0F0F23｜主色 #7C3AED｜辅色 #A78BFA｜主按钮 #F43F5E｜文字 #E2E8F0｜边框 #4C1D95, #0F0F23,1.0, #1D1D30,1.0, #272739,1.0, #FFFFFF,0.12, #FFFFFF,0.2, #7C3AED,1.0, #A78BFA,1.0, #F43F5E,1.0, #E2E8F0,1.0, #B4B8C3,1.0, #4C1D95,1.0, #FFFFFF,0.2, #000000,0.65
Dark_Quantum_Computing,深色量子计算主题｜配色：背景 #050510｜主色 #00FFFF｜辅色 #7B61FF｜主按钮 #FF00FF｜文字 #E0E0FF｜边框 #333344, #050510,1.0, #14141E,1.0, #1E1E28,1.0, #FFFFFF,0.12, #FFFFFF,0.2, #00FFFF,1.0, #7B61FF,1.0, #FF00FF,1.0, #E0E0FF,1.0, #B0B0CA,1.0, #333344,1.0, #FFFFFF,0.2, #000000,0.65
Dark_Space_Tech_Aerospace,深色航天/太空科技主题｜配色：背景 #0B0B10｜主色 #FFFFFF｜辅色 #94A3B8｜主按钮 #3B82F6｜文字 #F8FAFC｜边框 #1E293B, #0B0B10,1.0, #1A1A1E,1.0, #232328,1.0, #FFFFFF,0.12, #FFFFFF,0.2, #FFFFFF,1.0, #94A3B8,1.0, #3B82F6,1.0, #F8FAFC,1.0, #C4C5C8,1.0, #1E293B,1.0, #FFFFFF,0.2, #000000,0.65
Dark_Tech_Glass,深色通用主题｜配色：背景 #0F172A｜主色 #F59E0B｜辅色 #FBBF24｜主按钮 #8B5CF6｜文字 #F8FAFC｜边框 #334155, #0F172A,1.0,,,,, #FFFFFF,0.12, #FFFFFF,0.2, #F59E0B,1.0, #FBBF24,1.0, #8B5CF6,1.0, #F8FAFC,1.0, #CBD5E1,1.0, #334155,1.0, #FFFFFF,0.2, #000000,0.65
Light_AI_Chatbot_Platform,浅色人工智能/聊天机器人主题｜配色：背景 #FAF5FF｜主色 #7C3AED｜辅色 #A78BFA｜主按钮 #06B6D4｜文字 #1E1B4B｜边框 #DDD6FE, #FAF5FF,1.0, #FFFFFF,1.0, #EAE4FE,1.0,,,,, #7C3AED,1.0, #A78BFA,1.0, #06B6D4,1.0, #1E1B4B,1.0, #4E4B73,1.0, #DDD6FE,1.0,,, #0F172A,0.55
Light_Agriculture_Farm_Tech,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
